# love day-pillar verdicts (source: ความรัก หลักวันเท่านั้น)
# format: STEM BRANCH QI | spouseText | reactionText
甲 子 หมกยก | คู่ครองที่มีความรักซึ่งกันและกันสม่ำเสมอ | มีคู่ครองสนับสนุนส่งเสริม ช่วยเหลือแบบเสน่หาอย่างดี
甲 寅 ลิ่มกัว | คู่ครองที่มีการใช้อำนาจ หรือ มีตำแหน่ง | มีคู่ครองเป็นคู่ธาตุ ร่วมคิดร่วมทำ อยู่เคียงข้าง มีสถานะทางสังคมหรือต้นตระกูลใกล้เคียงกัน
甲 午 ซี่ | คู่ครองที่อยู่ใกล้ตัว หรือ หมดสิ้นเยื่อใย | มักต้องทุ่มเทให้คู่ครอง แล้วไม่ได้ผลตอบรับดั่งใจหวัง มักได้คู่ที่อายุห่างกัน หรือ ผ่านชีวิตคู่มาก่อนแล้ว
甲 申 เจ๊าะ | คู่ครองที่อยู่ด้วยกัน อาจไม่มีการจัดงานแต่ง | มักมีคู่ยาก หรือ มีคู่แล้วมักสร้างภาระ  กดดัน เครียดจากชีวิตคู่
甲 戌 เอี้ยง | คู่ครองที่ต้องคอยดูแลเอาใจใส่ สดใส ร่าเริง | ได้คู่ครองที่ค่อยๆสร้างฐานะ เก็บเล็กผสมน้อย เป็นผู้ชายจะได้ลาภผลจากคู่ครอง หรือ ตั้งตัวได้จากการแต่งงาน
乙 巳 หมกยก | คู่ครองที่มีความรักซึ่งกันและกันสม่ำเสมอ | มักทุ่มเทช่วยเหลือ สร้างเสน่ห์ อ้อนเก่ง
乙 卯 ลิ่มกัว | คู่ครองที่มีการใช้อำนาจ หรือ มีตำแหน่ง | มีคู่ครองเป็นคู่ธาตุ ร่วมคิดร่วมทำ อยู่เคียงข้าง มีสถานะทางสังคมหรือต้นตระกูลใกล้เคียงกัน
乙 丑 ซวย | คู่ครองที่มีลักษณะเรียบร้อยหรือขี้บ่น | มักได้คู่ครองแล้วมักเหนื่อยยาก มีภาระรับผิดการเงินเยอะ หรือ มีโอกาสการเงินต้องเป็นแบบมรดกสมบัติเก่า
乙 亥 ซี่ | คู่ครองที่อยู่ใกล้ตัว หรือ หมดสิ้นเยื่อใย | มักมีคู่แล้วไม่ค่อยเปิดเผย หรือ มาในลักษณะ ผู้ใหญ่ไม่เปิดเผย อุปถัมป์
乙 酉 เจ๊าะ | คู่ครองที่อยู่ด้วยกัน อาจไม่มีการจัดงานแต่ง | มักมีคู่ยาก หรือ มีคู่แล้วมักสร้างภาระ  กดดัน เครียดจากชีวิตคู่  เป็นสตรี มักได้สามีที่เป็นผู้ก่อเกิดความเสียหาย
乙 未 เอี้ยง | คู่ครองที่ต้องคอยดูแลเอาใจใส่ สดใส ร่าเริง | มักได้คู่ครองแล้วสะสม สนับสนุน ส่งเสริม ช่วยเหลือ ลาภผล การศึกษา ลงทุน ค่อยๆเจริญเติบโต
丙 寅 เชี่ยงแซ | คู่ครองส่งเสริมให้มีความเจริญรุ่งเรือง | คู่ครองสนับสนุนส่งเสริมเกิดการพัฒนาในทางที่ดี มีคู่เป็นคนอุปถัมป์ส่งเสริมให้ก้าวหน้า
丙 午 ตี้อ๋วง | คู่ครองที่มีการใช้อำนาจเกินขอบเขตที่มี | มักมีคู่ส่งเสริม เหมือน พี่น้อง เหมือนเพื่อน ช่วยเหลือให้มีอำนาจ มีชื่อเสียง ระวังการแสดงออกใช้อำนาจแบบเชือดเฉือนกับคู่ครอง
丙 申 แป่ | คู่ครองที่มาจากต่างถิ่น มีความขยันขันแข็ง | มักได้คู่ครองต่างถิ่น  ได้ลาภผลจากต่างถิ่น เดินทางไปหาลาภผล ถึงดี คู่ครองแต่งตัวทันสมัย
丙 戌 หมอ | คู่ครองที่มาจากตระกูลโบราณ   ชอบอยู่บ้าน | มักได้คู่ครองที่เราเป็นฝ่ายสนับสนุนคู่ แต่ทำด้วยความเต็มใจ สร้างสะสมฐานะ เก็บลาภผลได้ดีแม้ใช้เวลาแบะเหน็ดเหนื่อย เก็บอารมณ์ความรู้สึกได้ดี เห็บความลับได้ดี
丙 子 ทอ | คู่ครองที่เป็นจุดเริ่มต้นของบางสิ่งที่ทำให้เจอกัน | มักได้คู่ครองคอยควบคุมและดูแล ด้วยรูปแบบประคบประหงม มีหน้าที่รับผิดชอบจากคู่ครอง
丁 酉 เชี่ยงแซ | คู่ครองส่งเสริมให้มีความเจริญรุ่งเรือง/ | คู่ครองสนับสนุนส่งเสริมเกิดการพัฒนาในทางที่ดี ได้ลาภผลจากคู่ครอง อยู่แล้วฐานะดี
丁 未 กวงตั่ว | คู่ครองที่มีความเข้าใจ เห็นอกเห็นใจกัน | มักเป็นผู้ช่วยเหลือเกลื้อกูลคู่ครองตามสมควรมีเหตุผล
丁 巳 ตี้อ๋วง | คู่ครองที่มีการใช้อำนาจเกินขอบเขตที่มี | มักมีคู่ครอง เหมือนพี่น้อง มีเพื่อน ช่วยเหลือส่งเสริมให้มีอำนาจพร้อมทั้งมีลาภผล พึงระวังการใช้อารมณ์รุนแรงกันและกัน
丁 卯 แป่ | คู่ครองที่มาจากต่างถิ่น มีความขยันขันแข็ง | ได้คู่ครองเหมือนผู้ใหญ่ต่างถิ่นต่างที่ถึงจะดี  เข้ามาส่งเสริม แต่มักไม่ราบรื่น ต่อเนื่อง เป็นครั้งเป็นคราว ถ้ามีคู่อยู่บริเวณใกล้กัน จะล่าช้า ไม่สนใจ ไม่กระตือรือร้น
丁 丑 หมอ | คู่ครองที่มาจากตระกูลโบราณ   ชอบอยู่บ้าน | มักได้คู่ครองแล้วรวมเก็บสะสมทรัพย์ที่ดี หรือ มีคู่ครองแล้วฐานะการเงินดีขึ้น มีคู่แล้วเก็บตัว ไม่เปิดเผย
丁 亥 ทอ | คู่ครองที่เป็นจุดเริ่มต้นของบางสิ่งที่ทำให้เจอกัน | มักได้คู่ครองคอยควบคุมและดูแล ด้วยรูปแบบประคบประหงมและช่วยเหลือ  มีหน้าที่รับผิดชอบจากคู่ครอง
戊 寅 เชี่ยงแซ | คู่ครองส่งเสริมให้มีความเจริญรุ่งเรือง | คู่ครองสนับสนุนส่งเสริมเกิดการพัฒนาในทางที่ดี มีคู่เป็นคนอุปถัมป์ส่งเสริมให้ก้าวหน้า
戊 午 ตี้อ๋วง | คู่ครองที่มีการใช้อำนาจเกินขอบเขตที่มี | มักมีคู่ครองเหมือนผู้ใหญ่ให้การสนับสนุน คู่ครองอาจมีอำนาจ เป็นคนเด็ดขาด ส่งเสริมให้มีอำนาจ มีชื่อเสียง
戊 申 แป่ | คู่ครองที่มาจากต่างถิ่น มีความขยันขันแข็ง | มักได้คู่ครองที่ไปสนับสนุนส่งเสริม เป็นฝ่ายที่ให้มาก ทุ่มเทมาก คิดมากกว่า
戊 戌 หมอ | คู่ครองที่มาจากตระกูลโบราณ   ชอบอยู่บ้าน | มักได้คู่ครองเสมือนเพื่อน เหมือนพี่น้อง คอยสะสมลาภผล และ มักไม่ค่อยเปิดเผยอารมณ์ความรู้สึกกัน
戊 子 ทอ | คู่ครองที่เป็นจุดเริ่มต้นของบางสิ่งที่ทำให้เจอกัน | มักได้คู่ครองที่ช่วยสร้างฐานะ สร้างลาภผล ค่อยๆสะสม ค่อยเป็นค่อยไป จนเพิ่มพูนมากขึ้น
己 酉 เชี่ยงแซ | คู่ครองส่งเสริมให้มีความเจริญรุ่งเรือง/ | คู่ครองสนับสนุนส่งเสริมเกิดการพัฒนาในทางที่ดี ได้ลาภผลจากคู่ครอง อยู่แล้วฐานะดี
己 未 กวงตั่ว | คู่ครองที่มีความเข้าใจ เห็นอกเห็นใจกัน | มักเป็นผู้ช่วยเหลือเกลื้อกูลคู่ครองตามสมควรมีเหตุผล
己 巳 ตี้อ๋วง | คู่ครองที่มีการใช้อำนาจเกินขอบเขตที่มี | มักมีคู่ครองเเหมือนผู้ใหญ่คอยช่วยเหลือสนับสนุนให้มีอำนาจบารมี ผลักดันให้มีจิตใจเข้มแข็ง
己 卯 แป่ | คู่ครองที่มาจากต่างถิ่น มีความขยันขันแข็ง | มักได้คู่ครองที่ต้องการควบคุมตัวเรา มีภาระให้เราร่วมรับผิดชอบที่น่าเหน็ดเหนื่อย
己 丑 หมอ | คู่ครองที่มาจากตระกูลโบราณ   ชอบอยู่บ้าน | มักได้คู่ครองเสมือนเพื่อน เหมือนพี่น้อง ช่วยเหลือซึ่งกันและกัน ช่วยกันตั้งหลักแหล่งที่อยู่อาศัย
己 亥 ทอ | คู่ครองที่เป็นจุดเริ่มต้นของบางสิ่งที่ทำให้เจอกัน | มักได้คู่ครองที่ช่วยสร้างฐานะ สร้างลาภผล ค่อยๆสะสม ค่อยเป็นค่อยไป จนเพิ่มพูนมากขึ้น  มักได้คู่อายุห่างกัน
庚 午 หมกยก | คู่ครองที่มีความรักซึ่งกันและกันสม่ำเสมอ | มีคู่ครองสนับสนุนส่งเสริม ช่วยเหลือแบบเสน่หาอย่างดี
庚 申 ลิ่มกัว | คู่ครองที่มีการใช้อำนาจ หรือ มีตำแหน่ง | มีคู่ครองเป็นคู่ธาตุ ร่วมคิดร่วมทำ อยู่เคียงข้าง มีสถานะทางสังคมหรือต้นตระกูลใกล้เคียงกัน
庚 戌 ซวย | คู่ครองที่มีลักษณะเรียบร้อยหรือขี้บ่น | มักจะมีความดิ้นรนในการทำมาหากินเมื่อมีคู่ครอง หรือ มีคู่ครองแล้วจะได้มรดกเก่าสมบัติเก่า
庚 子 ซี่ | คู่ครองที่อยู่ใกล้ตัว หรือ หมดสิ้นเยื่อใย | มักต้องทุ่มเทให้คู่ครอง แล้วไม่ได้ผลตอบรับดั่งใจหวัง มักได้คู่ครองอายุห่างกัน หรือ ผ่านชีวิตคู่มาก่อน
庚 寅 เจ๊าะ | คู่ครองที่อยู่ด้วยกัน อาจไม่มีการจัดงานแต่ง | มักได้คู่ครองที่ทำให้เสียทรัพย์ ดวงชะตาเป็นผู้ชายมักเจ้าชู้
辛 亥 หมกยก | คู่ครองที่มีความรักซึ่งกันและกันสม่ำเสมอ | มักทุ่มเทช่วยเหลือ สร้างเสน่ห์ อ้อนเก่ง
辛 酉 ลิ่มกัว | คู่ครองที่มีการใช้อำนาจ หรือ มีตำแหน่ง | มีคู่ครองเป็นคู่ธาตุ ร่วมคิดร่วมทำ อยู่เคียงข้าง มีสถานะทางสังคมหรือต้นตระกูลใกล้เคียงกัน
辛 未 ซวย | คู่ครองที่มีลักษณะเรียบร้อยหรือขี้บ่น | มักจะมีความดิ้นรนในการทำมาหากินเมื่อมีคู่ครอง หรือ มีคู่ครองแล้วจะได้มรดกเก่าสมบัติเก่า
辛 巳 ซี่ | คู่ครองที่อยู่ใกล้ตัว หรือ หมดสิ้นเยื่อใย | มักได้คู่ครอง มีเหมือนไม่มี ไม่ได้เปิดเผย หรือ เหินห่าง ไม่เกิดความก้าวหน้า ไม่โดดเด่น ไม่รุ่งเรือง
辛 卯 เจ๊าะ | คู่ครองที่อยู่ด้วยกัน อาจไม่มีการจัดงานแต่ง | มักได้คู่ครองที่ทำให้เสียทรัพย์ ดวงชะตาเป็นผู้ชายมักเจ้าชู้
辛 丑 เอี้ยง | คู่ครองที่ต้องคอยดูแลเอาใจใส่ สดใส ร่าเริง | มักได้คู่ครองเหมือนผู้ใหญ่ที่ค่อยส่งเสริม ดูแลผลประโยชน์อย่างดี คอยสะสม เสริมสร้างให้ฐานะดีขึ้นเรื่อยๆ
壬 申 เชี่ยงแซ | คู่ครองส่งเสริมให้มีความเจริญรุ่งเรือง/ | คู่ครองสนับสนุนส่งเสริมเกิดการพัฒนาในทางที่ดี ได้ลาภผลจากคู่ครอง อยู่แล้วฐานะดี
壬 戌 กวงตั่ว | คู่ครองที่มีความเข้าใจ เห็นอกเห็นใจกัน | มักเป็นผู้ช่วยเหลือเกลื้อกูลคู่ครองตามสมควรมีเหตุผล คำพูดและการกระทำต่อคู่ครองมักมีเหตุเข้าใจผิดกันบ่อย ได้คู่ที่มีตำแหน่ง หรือ การศึกษาดี
壬 子 ตี้อ๋วง | คู่ครองที่มีการใช้อำนาจเกินขอบเขตที่มี | มักมีคู่ครอง เหมือนเพื่อน มีพี่น้องในการสนับสนุน และส่งเสริมให้มีอำนาจ
壬 寅 แป่ | คู่ครองที่มาจากต่างถิ่น มีความขยันขันแข็ง | มักมีคู่ครองแล้วเป็นฝ่ายที่ช่วยเหลือสนับสนุนคู่ครอง เดินทางไกลบ่อยจะดี คิดมากฟุ้งซ่านพูดมากกับคู่ครอง
壬 午 ทอ | คู่ครองที่เป็นจุดเริ่มต้นของบางสิ่งที่ทำให้เจอกัน | มักมีคู่ครองแล้วมีหน้าที่รับผิดชอบมากขึ้น ภาระมากขึ้น แต่มีคู่ครองทั้งควบคุมและช่วยเหลือ มีเพื่อนและพี่น้องช่วยเหลือ ภาระมากแต่มีคนช่วยแบ่งเบา
癸 卯 เชี่ยงแซ | คู่ครองส่งเสริมให้มีความเจริญรุ่งเรือง/ | คู่ครองสนับสนุนส่งเสริมเกิดการพัฒนาในทางที่ดี ได้ลาภผลจากคู่ครอง อยู่แล้วฐานะดี
癸 丑 กวงตั่ว | คู่ครองที่มีความเข้าใจ เห็นอกเห็นใจกัน | มักเป็นผู้ช่วยเหลือเกลื้อกูลคู่ครองตามสมควรมีเหตุผล
癸 亥 ตี้อ๋วง | คู่ครองที่มีการใช้อำนาจเกินขอบเขตที่มี | มักได้คู่ครองมีอำนาจบารมี จะประสบความสำเร็จต้องใช้อำนาจ รวมถึงมีใช้อารมณ์อำนาจกับคู่ครอง ซึ่งบางทีอาจจะมากไปจนส่งผลเสีย
癸 酉 แป่ | คู่ครองที่มาจากต่างถิ่น มีความขยันขันแข็ง | มักได้คู่ครองเป็นผู้อุปถัมป์ ช่างพูด หรือ คิดมากฟุ้งซ่าน  คู่ครองอาจป่วยบ่อย หรือ เดินทางบ่อย อยู่ห่างไกล
