# career-relation 12-qi verdicts (source: คู่สมพงษ์การงาน)
# format: [relation] qi | verdict
[employee] เชี่ยงแซ | ส่งเสริมให้มีความเจริญรุ่งเรือง สร้างสรรค์สิ่งใหม่ๆ มีความสามารถในการพัฒนา พึ่งพาตัวเองได้
[employee] หมกยก | มักสร้างปัญหาให้ตัวเราเข้าไปแก้ไขเสมอ แต่ถ้าใช้งานถูกวิธี สร้างงานที่เหมาะสมจะสามารถสะสางปัญหาได้เยอะ สร้างสีสรรให้องค์กร พึงระวังการติดอบายมุข
[employee] กวงตั่ว | มีการเรียนรู้เพื่อที่จะประสบความสำเร็จในการทำงาน วิธีคิด วิธีทำงาน เป็นไปตามหลักการขององค์กร มีความเชี่ยวชาญเฉพาะด้าน
[employee] ลิ่มกัว | สามารถทำงานได้อย่างยอดเยี่ยมในหน้าที่ที่ได้รับมอบหมาย ไว้เนื้ิอเชื่อใจได้ มีคุณงามความดี คุ้มค่าสมตำแหน่ง
[employee] ตี้อ๋วง | มีพลังงานในการทำงานสูง  มีศักยภาพที่จะผลักดันในองค์กรไปถึงจุดหมาย สร้างความโดดเด่นในตัวเอง พึงระวังความดื้อรั้น เชื่อมั่นในตัวเองมากเกิน ไม่เห็นหัวผู้ร่วมงาน
[employee] ซวย | ทำงานล่าช้า ยึดติดในกรอบความคิด ตกยุค ไม่เรียนรู้เทคโนโลยี วิธีคิด/ทำ/ล้าสมัย และมีนิสัยขี้บ่น
[employee] แป่ | มีความขยัน ช่างพูดจนถึงพูดมาก ใช้เทคโนโลยีในการทำงานได้ ชอบงานเดินทาง มักป่วยบ่อย ไม่ค่อยโฟกัสในการทำงาน
[employee] ซี่ | ไม่ขยันขาดความกระตือรือร้น ชอบอยู่เฉยๆ ไม่ค่อยมีความคิดใหม่ๆ ไม่มีอารมณ์ทำงาน ปิดตายปิดกั้นความคิด
[employee] หมอ | มีความภักดียึดมั่นในองค์กร  สร้างความเสถียรภาพในที่ทำงาน มีหน้าที่ในการรวบรวม เก็บกัก จะทำได้ดี มีความสงบนิ่ง เก็บอารมณ์อยู่ ไม่ค่อยแสดงออก เก็บความลับได้ดี
[employee] เจ๊าะ | สร้างความเสียหาย สร้างปัญหา ก่อความเดือดร้อน  หักหลัง สูญเสีย ไม่สร้างสรรค์
[employee] ทอ | ทำงานแบบค่อยเป็นค่อยไปทีละขั้น ไม่เร่งรีบจนบางคราวดูเหมือนเชื่องช้า เหมาะกับโครงสร้างที่เริ่มสร้างขึ้นมาใหม่ รวมถึงงานที่ต้องเฝ้าติดตามดูแลต่อเนื่อง
[employee] เอี้ยง | เอาใจใส่ใจงานที่ทำ  เหมาะกับงานที่ต้องควบคุมดูแล  ทำงานทีละอย่าง ไม่ซับซ้อน  มีนิสัยสนุกสนาน ร่าเริง เวลาทำงาน
[partner] เชี่ยงแซ | หุ้นส่วน/เพื่อนร่วมงาน/ส่งเสริมให้มีความเจริญรุ่งเรือง สร้างสรรค์สิ่งใหม่ๆ ยืนหยัดด้วยกำลังตัวเอง
[partner] หมกยก | หุ้นส่วน/เพื่อนร่วมงาน/ที่มีทักษะการสะสางปัญหา เคลียร์ปัญหา จัดสรรทรัพยากรให้เกิดความสวยงาม สร้างเสน่ห์ให้องค์กร
[partner] กวงตั่ว | หุ้นส่วน/เพื่อนร่วมงาน/ที่มีการเรียนรู้เพื่อที่จะประสบความสำเร็จในชีวิต วิธีคิด วิธีทำงาน เป็นไปตามหลักการ มีความเชี่ยวชาญเฉพาะด้าน
[partner] ลิ่มกัว | หุ้นส่วน/เพื่อนร่วมงาน/ที่มีการมีตำแหน่งที่ดี หน้าที่การงานที่ดี มีชื่อเสียง มีความน่าเชื่อถือ มีคุณงามความดี
[partner] ตี้อ๋วง | หุ้นส่วน/เพื่อนร่วมงาน/ที่มีพลังงานเหลือล้น มีอำนาจเหนือผู้อื่น มีวาสนามากพอที่จะผลักดันในองค์กรไปถึงจุดสูงสุด ทำให้โดดเด่น มีคุณค่า มีราคาหรูหรา
[partner] ซวย | หุ้นส่วน/เพื่อนร่วมงาน/ที่มีลักษณะยึดติดในกรอบความคิด ไม่ทันยุคสมัย กลัวการเปลี่ยนแปลง ทำงานล่าช้า ไม่ทันคน เจรจามักไม่สำเร็จ และขี้บ่น
[partner] แป่ | หุ้นส่วน/เพื่อนร่วมงาน/ที่มาจากต่างถิ่น มีความขยันขันแข็ง พูดเยอะ มีความทันสมัย มักใช้เทคโนโลยีในการทำงาน เดินทางไกลบ่อย แต่ทำงานไม่ค่อยเต็มกำลังสุขภาพไม่แข็งแรง การเงินถดถอย
[partner] ซี่ | หุ้นส่วน/เพื่อนร่วมงาน/ที่เหมือนคนใกล้ชิด มีความสนิทสนม ไม่ค่อยมีความกระตือรือร้น รักความสงบ ชอบอยู่เฉยๆ รวมถึงไม่ค่อยมีความคิดใหม่ๆ ไม่มีอารมณ์ทำงาน ปิดตายปิดกั้นความคิด
[partner] หมอ | หุ้นส่วน/เพื่อนร่วมงาน/ที่สร้างความมั่นคง สร้างความเสถียรในองค์กร  รวบรวมทรัพย์สิน เก็บกักสมบัติ รวมถึงมีความสงบนิ่ง ถึง เฉยชา เก็บอารมณ์ ไม่ค่อยแสดงออก เก็บความลับได้ดี
[partner] เจ๊าะ | หุ้นส่วน/เพื่อนร่วมงาน/ที่ก่อความเสียหาย สร้างปัญหา ก่อหนี้สิน  หักหลัง สูญเสีย ไม่สร้างสรรค์
[partner] ทอ | หุ้นส่วน/เพื่อนร่วมงาน/มีส่วนที่ก่อเกิด ริเริ่ม จุดประกาย ดูแลใส่ใจกันและกัน ทำงานแบบค่อยเป็นค่อยไป ไม่เร่งรีบเก็บผลลัพธ์ จนบางคราวดูเหมือนเชื่องช้า
[partner] เอี้ยง | หุ้นส่วน/เพื่อนร่วมงาน/ที่เอาใจใส่กันและกัน ดูแลกันและกัน ตั้งต้นร่วมกัน ก้าวไปทีละก้าว จนนำไปสู่ความมั่นคง สนุกสนาน ร่าเริง เวลาทำงานร่วมกัน
[boss] เชี่ยงแซ | ตัวเราทำงานส่งเสริมหัวหน้า/เจ้าของ/ให้มีความเจริญรุ่งเรือง สร้างสรรค์สิ่งใหม่ๆ ยืนหยัดด้วยฝีมือของเรา เกิดการพัฒนาทั้งสองฝ่าย
